No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
379,1,"""The Mook, the Chef, the Wife and Her Homer""",Michael Marcantel,Bill Odenkirk,"September 10, 2006",HABF15,11.50[362]
380,2,"""Jazzy and the Pussycats""",Steven Dean Moore,Daniel Chun,"September 17, 2006",HABF18,8.94[363]
381,3,"""Please Homer, Don't Hammer 'Em""",Mike B. Anderson & Ralph Sosa,Matt Warburton,"September 24, 2006",HABF20,9.72[364]
382,4,"""Treehouse of Horror XVII""",David Silverman & Matthew Faughnan,Peter Gaffney,"November 5, 2006",HABF17,10.43[365]
383,5,"""G.I. (Annoyed Grunt)""",Nancy Kruse,Daniel Chun,"November 12, 2006",HABF21,11.43[366]
384,6,"""Moe'N'a Lisa""",Mark Kirkland,Matt Warburton,"November 19, 2006",HABF19,9.31[367]
385,7,"""Ice Cream of Margie (with the Light Blue Hair)""",Matthew Nastuk,Carolyn Omine,"November 26, 2006",HABF22,10.90[368]
386,8,"""The Haw-Hawed Couple""",Chris Clements,Matt Selman,"December 10, 2006",JABF02,8.29[369]
387,9,"""Kill Gil, Volumes I & II""",Bob Anderson,Jeff Westbrook,"December 17, 2006",JABF01,8.96[370]
388,10,"""The Wife Aquatic""",Lance Kramer,Kevin Curran,"January 7, 2007",JABF03,13.90[371]
389,11,"""Revenge Is a Dish Best Served Three Times""",Michael Polcino,Joel H. Cohen,"January 28, 2007",JABF05,8.09[372]
390,12,"""Little Big Girl""",Raymond S. Persi,Don Payne,"February 11, 2007",JABF04,8.27[373]
391,13,"""Springfield Up""",Chuck Sheetz,Matt Warburton,"February 18, 2007",JABF07,8.80[374]
392,14,"""Yokel Chords""",Susie Dietter,Michael Price,"March 4, 2007",JABF09,9.09[375]
393,15,"""Rome-Old and Juli-Eh""",Nancy Kruse,Daniel Chun,"March 11, 2007",JABF08,8.98[376]
394,16,"""Homerazzi""",Matthew Nastuk,J. Stewart Burns,"March 25, 2007",JABF06,6.91[377]
395,17,"""Marge Gamer""",Bob Anderson,J. Stewart Burns,"April 22, 2007",JABF10,6.40[378]
396,18,"""The Boys of Bummer""",Rob Oliver,Michael Price,"April 29, 2007",JABF11,7.57[379]
397,19,"""Crook and Ladder""",Lance Kramer,Bill Odenkirk,"May 6, 2007",JABF13,7.72[380]
398,20,"""Stop! Or My Dog Will Shoot""",Matthew Faughnan,John Frink,"May 13, 2007",JABF12,6.48[381]
399,21,"""24 Minutes""",Raymond S. Persi,Billy Kimball & Ian Maxtone-Graham,"May 20, 2007",JABF14,9.80[382]
400,22,"""You Kent Always Say What You Want""",Matthew Nastuk,Tim Long,"May 20, 2007",JABF15,9.80[382]
