ID,Username,Author ID,Date,Time,Retweets,Favorites,Text,Mentions,Hashtags,Permalink,URL
20627714679513091,trinibabeegurl,48511848,2010-12-31,05:20,0,0,"""Poor Lisa #TheSimpsons""",-,#TheSimpsons,https://twitter.com/trinibabeegurl/status/20627714679513091,-
20624735616372736,simpsons_are1,202868827,2010-12-31,05:08,0,0,"""So FOX – New Year 2011 – Promo http://bit.ly/h35UCp #thesimpsons""",-,#thesimpsons,https://twitter.com/simpsons_are1/status/20624735616372736,-
20621830825975808,David0Monroe,14507734,2010-12-31,04:56,0,0,"""Rock and Roll Fantasy Camp http://bit.ly/9POnEy #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/David0Monroe/status/20621830825975808,-
20619720432549892,BigBoy30281,125999815,2010-12-31,04:48,0,0,"""#thesimpsons reruns are #hilarious !""",-,#thesimpsons #hilarious,https://twitter.com/BigBoy30281/status/20619720432549892,-
20615540666011648,izzuhbell,43636889,2010-12-31,04:31,0,0,"""Why, oh why, is my little cat dead? Why couldn't that Chrysler have hit me instead? #thesimpsons""",-,#thesimpsons,https://twitter.com/izzuhbell/status/20615540666011648,-
20612415527854080,LESLEYYY_,160843337,2010-12-31,04:19,0,0,"""I am looking #thesimpsons""",-,#thesimpsons,https://twitter.com/LESLEYYY_/status/20612415527854080,-
20611304758710272,fannycastilloh,116942047,2010-12-31,04:14,0,0,"""Watching @thesimpsons""",@thesimpsons,-,https://twitter.com/fannycastilloh/status/20611304758710272,-
20608089677889538,DanielVillalona,87443172,2010-12-31,04:02,0,0,"""@ Keilly02 Good choice, there is no better American series on world TV than that #Thesimpsons #Simpsonsrules""",@Keilly02,#Thesimpsons #Simpsonsrules,https://twitter.com/DanielVillalona/status/20608089677889538,-
20607918428651520,drksly,146868167,2010-12-31,04:01,0,0,"""I am watching The Simpsons http://bit.ly/giM7d9 #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/drksly/status/20607918428651520,-
20607105161502720,Jeremy_Lynch jormley,75917918,2010-12-31,03:58,0,0,"""@jormley BOOTS! I am happy! What are you doing? I'm watching #TheSimpsons""",@jormley,#TheSimpsons,https://twitter.com/Jeremy_Lynch/status/20607105161502720,-
20600548164112386,mangi_rawr,139229526,2010-12-31,03:32,0,0,"""Start #THESIMPSONS * o * I'll see ... bgsbgsbgs; * xoxo""",-,#THESIMPSONS,https://twitter.com/mangi_rawr/status/20600548164112386,-
20590901063581696,favgal,55688329,2010-12-31,02:53,0,0,"""Lwkmd!beta dan sheep in d city.I knw u knw wt I'm tlkin bout.heheRT @ydcoal : I've been watching #TheSimpsons since ... http://tmi.me/4Qc7p""",@ydcoal,#TheSimpsons,https://twitter.com/favgal/status/20590901063581696,-
20589287116378112,MimicMummy,92235951,2010-12-31,02:47,0,0,"""Check out my previous tweets to enter my #competition to #win a set of 3 #Simpsons #TheSimpsons soft toys :)""",-,#competition #win #Simpsons #TheSimpsons,https://twitter.com/MimicMummy/status/20589287116378112,-
20588707203522561,ydcoal,174195845,2010-12-31,02:45,0,0,"""I've been watching #TheSimpsons since 1992 n I still dunno y I'm not yet #dumb ! I know I am somewhere!""",-,#TheSimpsons #dumb,https://twitter.com/ydcoal/status/20588707203522561,-
20587747236388864,Eishle,230698134,2010-12-31,02:41,0,0,""""If I don't see it, it's not illegal!" Happy 21st Birthday, #TheSimpsons . http://bit.ly/cemR6N""",-,#TheSimpsons,https://twitter.com/Eishle/status/20587747236388864,-
20582804425281536,PunSolo,20368983,2010-12-31,02:21,0,0,"""What causes thunder? I contend that the angels #The Simpsons bowling""",-,#TheSimpsons,https://twitter.com/PunSolo/status/20582804425281536,-
20582588351512576,GomesAfricaa,80578191,2010-12-31,02:20,0,0,"""After a tiring #day, now watching #TheSimpsons!""",-,#day #TheSimpsons,https://twitter.com/GomesAfricaa/status/20582588351512576,-
20576203794554880,NewConceptCORP,112801477,2010-12-31,01:55,0,0,"""#lol : Usher x Homer Simpson {OMG! rip off!?} :: @HomerJSimpson ; #OMG ; #TheSimpsons ; #HomerSimpson ::vid=> http://fb.me/APbHSSoH""",@HomerJSimpson,#lol #OMG #TheSimpsons #HomerSimpson,https://twitter.com/NewConceptCORP/status/20576203794554880,-
20571543562096640,theloopca,27891216,2010-12-31,01:36,2,0,"""#Usher accused of plagiarising #HomerSimpson http:// eatthis.inmusic.ca/2010/12/usher- accused-of-plagiarising-homer-simpson.html … via @inMusic @missbromstein #TheSimpsons""",@inMusic @missbromstein,#Usher #HomerSimpson #TheSimpsons,https://twitter.com/theloopca/status/20571543562096640,http://eatthis.inmusic.ca/2010/12/usher-accused-of-plagiarising-homer-simpson.html
20569843921059840,SweetLadyJess,27571462,2010-12-31,01:30,0,0,"""Started the second season! Woot! http://bit.ly/eO0G41 #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/SweetLadyJess/status/20569843921059840,-
20568509700378624,matt1190,101593881,2010-12-31,01:24,0,0,"""#TheSimpsons #Sky1 Homer to Lisa: "by the power vested in me I now pronounce you sweet dreams"""",-,#TheSimpsons #Sky1,https://twitter.com/matt1190/status/20568509700378624,-
20563608551297024,Mr_Winstoff,115983215,2010-12-31,01:05,0,0,"""ahahaha #southpark and #TheSimpsons make me laugh""",-,#southpark #TheSimpsons,https://twitter.com/Mr_Winstoff/status/20563608551297024,-
20559099313782784,MultiversoFan,61562903,2010-12-31,00:47,0,0,"""RT @DanielRuge: Referendo Alegría #amohacerfusiones #thesimpsons # malloría""",@DanielRuge,#amohacerfusiones #thesimpsons #malloría,https://twitter.com/MultiversoFan/status/20559099313782784,-
20557871225769985,SrtaCocaine,73700996,2010-12-31,00:42,0,1,"""Stupid and sensual Flanders. #TheSimpsons""",-,#TheSimpsons,https://twitter.com/SrtaCocaine/status/20557871225769985,-
20557675406299136,DanielRuge,76946437,2010-12-31,00:41,0,0,"""Referendo Alegría #amohacerfusiones #thesimpsons # malloría""",-,#amohacerfusiones #thesimpsons #malloría,https://twitter.com/DanielRuge/status/20557675406299136,-
20557433176854528,Chris_the_Book,79415988,2010-12-31,00:40,0,0,"""'I'm a Level 5 Vegan - I don't eat anything that casts a shadow'. Genius. #thesimpsons""",-,#thesimpsons,https://twitter.com/Chris_the_Book/status/20557433176854528,-
